time,Ti,To,P,u,dt,sim_hour,Ti_next,dTi,weather_effect,residual_effect,P_mode,P_signed
96600,20.916530899706572,26.593470000000025,0.20169068904884824,0.19967378215835974,300.0,26.75,21.091541872060418,0.17501097235384577,0.17635029588402248,-0.0013393235301767115,cooling,-0.20169068904884824
96900,21.091541872060418,26.755899999999997,0.20169068904884824,0.19967378215835974,300.0,26.833333333333332,21.26603770844696,0.17449583638654076,0.175960626106487,-0.0014647897199462356,cooling,-0.20169068904884824
97200,21.26603770844696,26.91512,0.20169068904884824,0.19967378215835974,300.0,26.916666666666668,21.44002384143431,0.173986132987352,0.1754874884507495,-0.0015013554633974968,cooling,-0.20169068904884824
97500,21.44002384143431,27.07107000000002,0.5194287256703148,0.5142344384136116,300.0,27.0,21.61333058679685,0.1733067453625381,0.1749288562774095,-0.0016221109148714108,cooling,-0.5194287256703148
97800,21.61333058679685,27.223630000000014,0.5194287256703148,0.5142344384136116,300.0,27.083333333333332,21.78587097295309,0.17254038615624268,0.17428626845330394,-0.0017458822970612686,cooling,-0.5194287256703148
98100,21.78587097295309,27.372770000000003,0.5194287256703148,0.5142344384136116,300.0,27.166666666666668,21.957562907987096,0.17169193503400493,0.173561489556151,-0.0018695545221460719,cooling,-0.5194287256703148
98400,21.957562907987096,27.518400000000042,0.5194287256703148,0.5142344384136116,300.0,27.25,22.1283232076986,0.1707602997115032,0.17275427464929186,-0.0019939749377886617,cooling,-0.5194287256703148
98700,22.1283232076986,27.66046,0.5194287256703148,0.5142344384136116,300.0,27.333333333333332,22.298073826779785,0.16975061908118505,0.17186534181570556,-0.0021147227345205133,cooling,-0.5194287256703148
99000,22.298073826779785,27.798850000000016,0.5194287256703148,0.5142344384136116,300.0,27.416666666666668,22.466732161042387,0.16865833426260224,0.17089401105390065,-0.0022356767912984077,cooling,-0.5194287256703148
99300,22.466732161042387,27.93353000000002,0.5194287256703148,0.5142344384136116,300.0,27.5,22.634218050855168,0.1674858898127809,0.1698416019410981,-0.0023557121283172,cooling,-0.5194287256703148
99600,22.634218050855168,28.064450000000022,0.5194287256703148,0.5142344384136116,300.0,27.583333333333332,22.80045184892481,0.16623379806964067,0.1687090486099285,-0.0024752505402878267,cooling,-0.5194287256703148
99900,22.80045184892481,28.191520000000025,0.5194287256703148,0.5142344384136116,300.0,27.666666666666668,22.965354460437027,0.1649026115122183,0.1674960304065667,-0.002593418894348387,cooling,-0.5194287256703148
100200,22.965354460437027,28.314700000000016,0.5194287256703148,0.5142344384136116,300.0,27.75,23.128847423455397,0.16349296301837057,0.1662037582125845,-0.0027107951942139386,cooling,-0.5194287256703148
100500,23.128847423455397,28.43392,0.5194287256703148,0.5142344384136116,300.0,27.833333333333332,23.290852946286748,0.1620055228313504,0.16483249411908227,-0.0028269712877318776,cooling,-0.5194287256703148
100800,23.290852946286748,28.549130000000048,0.5194287256703148,0.5142344384136116,300.0,27.916666666666668,23.451305638837084,0.16045269255033645,0.16338309891667438,-0.0029304063663379287,cooling,-0.5194287256703148
101100,23.451305638837084,28.660240000000044,0.5983985544061036,0.5924145688620425,300.0,28.0,23.610128532046247,0.15882289320916243,0.16185481036406715,-0.003031917154904723,cooling,-0.5983985544061036
101400,23.610128532046247,28.767269999999996,0.5983985544061036,0.5924145688620425,300.0,28.083333333333332,23.767234327723997,0.15710579567775085,0.1602506318787263,-0.0031448362009754427,cooling,-0.5983985544061036
101700,23.767234327723997,28.870100000000036,0.5983985544061036,0.5924145688620425,300.0,28.166666666666668,23.92254830181514,0.15531397409114334,0.1585695505892675,-0.003255576498124163,cooling,-0.5983985544061036
102000,23.92254830181514,28.968700000000013,0.5983985544061036,0.5924145688620425,300.0,28.25,24.075996581797995,0.15344827998285382,0.15681295173143325,-0.003364671748579434,cooling,-0.5983985544061036
102300,24.075996581797995,29.06307000000004,0.5983985544061036,0.5924145688620425,300.0,28.333333333333332,24.227506181686636,0.15150959988864088,0.15498312335485315,-0.0034735234662122694,cooling,-0.5983985544061036
102600,24.227506181686636,29.153099999999995,0.5983985544061036,0.5924145688620425,300.0,28.416666666666668,24.37700503680992,0.14949885512328365,0.15307891902646367,-0.003580063903180025,cooling,-0.5983985544061036
102900,24.37700503680992,29.238800000000026,0.5983985544061036,0.5924145688620425,300.0,28.5,24.524422038151954,0.14741700134203484,0.1511028805308984,-0.0036858791888635667,cooling,-0.5983985544061036
103200,24.524422038151954,29.320100000000025,0.5983985544061036,0.5924145688620425,300.0,28.583333333333332,24.66968706623601,0.1452650280840544,0.14905504221764337,-0.0037900141335889814,cooling,-0.5983985544061036
103500,24.66968706623601,29.39694000000003,0.5983985544061036,0.5924145688620425,300.0,28.666666666666668,24.81273102453622,0.14304395830021122,0.14693571751670625,-0.0038917592164950388,cooling,-0.5983985544061036
103800,24.81273102453622,29.469300000000032,0.5983985544061036,0.5924145688620425,300.0,28.75,24.9534858724017,0.14075484786548031,0.14474642709213192,-0.003991579226651609,cooling,-0.5983985544061036
104100,24.9534858724017,29.53716000000003,0.5983985544061036,0.5924145688620425,300.0,28.833333333333332,25.091884657476157,0.13839878507445746,0.1424886589044067,-0.004089873829949242,cooling,-0.5983985544061036
104400,25.091884657476157,29.60050000000001,0.5983985544061036,0.5924145688620425,300.0,28.916666666666668,25.227682569092394,0.1357979116162369,0.14016386720632706,-0.004365955590090176,cooling,-0.5983985544061036
104700,25.227682569092394,29.65927000000005,0.046919608808078515,0.046450412719997725,300.0,29.0,25.3610168157241,0.1333342466317049,0.1377780858581735,-0.004443839226468599,cooling,-0.046919608808078515
105000,25.3610168157241,29.713430000000017,0.046919608808078515,0.046450412719997725,300.0,29.083333333333332,25.491805601410306,0.13078878568620667,0.13532582619145306,-0.0045370405052463925,cooling,-0.046919608808078515
105300,25.491805601410306,29.76296000000002,0.046919608808078515,0.046450412719997725,300.0,29.166666666666668,25.619986503937696,0.12818090252739012,0.13280900220913208,-0.004628099681741965,cooling,-0.046919608808078515
105600,25.619986503937696,29.807860000000005,0.046919608808078515,0.046450412719997725,300.0,29.25,25.745498347743307,0.12551184380561153,0.13022954731105205,-0.0047177035054405125,cooling,-0.046919608808078515
