KP,KI,KD,J_total,J_comfort_raw,J_energy_raw,J_response_raw,J_comfort_norm,J_energy_norm,J_response_norm
10.0,0.1,0.03,5.150251457257367,36212.572374507596,638792.7090590859,2.8948696612517906,0.33654668544223926,0.9955330587653637,0.24719849712808073
2.0,1.0,0.01,5.180747682471267,45445.04525028343,653143.5342648972,2.4019829514996145,0.422349983607411,1.017898249711253,0.20510995147229588
10.0,0.1,0.05,5.214073067137665,36214.904157429715,638791.1472485019,2.9694852517265367,0.33656835619806114,0.9955306247456169,0.25357006614017424
0.5,3.0,0.03,5.29882467033193,24996.280526800034,667935.8877191931,3.6260344926486807,0.2323064838553417,1.040951544891132,0.3096340706164089
2.0,0.8,0.01,5.326411246595216,59885.064644968355,650042.6377178207,1.7924339098080884,0.556550355090105,1.013065625636734,0.15305938455079562
10.0,0.05,0.0,5.331534309612248,39956.457309550555,637285.3968683921,2.9061825646705257,0.37134101191358465,0.9931839725994837,0.2481645277444841
10.0,0.05,0.01,5.344867636199483,39957.16716453238,637284.6280711873,2.9217596099407537,0.37134760905169484,0.9931827744595831,0.24949468164814254
10.0,0.1,0.1,5.372178089393293,36224.407680378674,638787.774545075,3.154126438985518,0.3366566785385847,0.9955253685213187,0.26933693281790505
10.0,0.05,0.03,5.392843165540492,39958.88521835666,637283.0904576741,2.977851670125661,0.3713635760289643,0.9931803781500099,0.25428449072456605
10.0,0.0,0.0,5.404974264368075,44302.66718203911,635657.1109612521,2.7586475156147836,0.41173313075273277,0.9906463537026317,0.2355662256901779
3.0,2.0,0.0,5.414713510177249,17747.751007672432,658713.7293062572,4.173026955141928,0.1649412450989278,1.0265791773874828,0.35634281072951274
0.1,3.0,0.01,5.417004266493665,44905.9760769478,664942.014148313,2.6864579735750667,0.41734006766899207,1.0362857118731483,0.22940182162755565
2.0,2.0,0.01,5.432912982909474,16802.853559002542,659775.4166003222,4.243821198946847,0.15615970643484375,1.0282337748559944,0.362388067587926
10.0,0.03,0.0,5.43514293853497,41620.363074148554,636647.4350686669,2.938134231835428,0.3868047564985427,0.9921897344799043,0.2508929421562352
10.0,0.03,0.01,5.4507558909993765,41621.01170626871,636646.6759455929,2.956384194573088,0.38681078465329105,0.9921885514167523,0.25245134163161687
0.5,2.5,0.03,5.455056447555904,28019.083903924715,667860.0113741356,3.644637849254436,0.2603993364368687,1.0408332946218164,0.3112226470749745
10.0,0.05,0.05,5.4677614938896895,39960.97384485311,637281.5528186881,3.065475492534245,0.3713829869760033,0.9931779818007384,0.2617668577208934
10.0,0.03,0.03,5.5041822939945595,41622.609404258925,636645.1576887916,3.018866128410048,0.3868256330865198,0.9921861852738456,0.25778679432881146
2.0,3.0,0.01,5.525258187925941,9614.431919207273,661933.5123243778,4.739201739564152,0.0893530887934683,1.0315970813039375,0.4046895662654662
10.0,0.01,0.0,5.546227803752472,43388.807367642476,635988.9390096162,2.973189845581569,0.403240044751735,0.9911634945329623,0.2538864085460834
10.0,0.01,0.01,5.564518599220211,43389.38656812202,635988.1926979299,2.9945795072504557,0.40324542763366844,0.9911623314358492,0.2557129129616019
10.0,0.2,0.1,5.565389558910477,30201.25926485769,641474.5194840803,3.703252370325902,0.28067969313676194,0.9997125537682982,0.3162278539458369
10.0,0.03,0.05,5.5858265727937475,41624.579855862816,636643.6394177867,3.1143729110974436,0.38684394575840775,0.9921838191088033,0.26594230248929057
0.1,1.0,0.0,5.60612435633868,97532.54377319616,661747.9020051851,0.04995061211145413,0.9064325502798698,1.0313078149955033,0.004265378994382707
0.5,1.5,0.03,5.623669464661813,30393.754160848996,666377.75473114,3.7155770831263295,0.28246867179700286,1.0385232565316036,0.3172802849145195
10.0,0.01,0.03,5.624421081929697,43390.847788984414,635986.7000713218,3.0646527695534767,0.40325900769732287,0.9911600052365803,0.26169660382065024
10.0,0.0,0.01,5.624501471390902,44315.079828101676,635651.0232549005,3.015065083629843,0.4118484894421603,0.9906368662541383,0.25746221579259615
7.0,0.2,0.0,5.633466894762223,50834.769736677306,634986.9695799574,2.6719904990294965,0.4724401537445552,0.9896019649836241,0.22816641610558225
0.5,0.8,0.03,5.6357565610104405,41377.39403202394,658637.8124415363,3.1461548690964625,0.3845466891912426,1.0264608639698816,0.2686562251084347
10.0,0.05,0.1,5.65149730156447,39973.606625247034,637276.8468702559,3.2799642933817683,0.3715003915151099,0.9931706477670673,0.2800824696221853
3.0,1.0,0.01,5.652248124173008,37747.04602097794,652263.4886008028,3.3746559423139173,0.35080753425124583,1.0165267335066934,0.2881683719410086
7.0,0.2,0.01,5.6576851719800665,50838.664773729215,634984.7156348274,2.7001439738451225,0.4724763528246962,0.9895984522996849,0.2305704955556901
10.0,0.0,0.03,5.6880409929027,44316.465834668044,635649.5459610391,3.0894016412265812,0.4118613704910703,0.9906345639503461,0.2638099576497002
7.0,0.2,0.03,5.701844858388691,50851.86803095791,634978.6274182571,2.751150719730748,0.4725990591713043,0.989588964056036,0.23492605984761342
7.0,0.2,0.05,5.701872370117783,50755.67301176935,635009.8335841767,2.7563606836269,0.4717050570957502,0.9896375976258464,0.23537094870131864
10.0,0.01,0.05,5.714189916333686,43392.6843523619,635985.2074403998,3.1696812219493062,0.40327607605995963,0.9911576790305884,0.2706651857003299
2.0,2.5,0.01,5.728833520219672,12185.791137769138,661121.8700524311,4.839157071730629,0.11325038095870377,1.030332169068473,0.4132249446357679
0.1,2.5,0.01,5.740437310096082,51631.2773035823,664393.8621391483,2.7002468711353678,0.4798426099633309,1.0354314387441454,0.2305792821535282
7.0,0.2,0.1,5.75484543441349,50789.70902224882,634997.8486180747,2.8165656140567368,0.47202137559403523,0.9896189195323215,0.24051196369109917
0.5,2.0,0.03,5.7605358302485214,31370.810356073554,667737.8628343071,3.820205989118758,0.2915490823404171,1.0406429309752772,0.3262147487571159
10.0,0.0,0.05,5.782416538137649,44318.22863728972,635648.0686671778,3.1998288645039126,0.41187775334764504,0.9906322616465539,0.27323955097528696
0.3,3.0,0.03,5.785217504457108,34250.03114836029,666789.4147524675,3.6941607658687765,0.318307529773514,1.03916481232019,0.31545150432693475
10.0,0.03,0.1,5.789278764783713,41638.70645057823,636638.3838647208,3.351870709160983,0.386975233273111,0.9921756285381454,0.2862226969880013
0.1,0.8,0.0,5.861934085712223,103445.2883205073,658008.8522338984,0.03458877698101721,0.9613834816493593,1.02548065447395,0.00295360229914756
10.0,0.01,0.1,5.943151377479861,43408.45890554374,635979.3928626945,3.436963525126753,0.40342267911076685,0.9911486172422393,0.29348893646837876
0.3,2.5,0.03,6.013302374754466,38912.297806206865,666990.7889157525,3.707187582076506,0.361636967243985,1.0394786459533676,0.3165638892581174
10.0,0.0,0.1,6.02638882792845,44334.88854639603,635641.9710285632,3.4846422499569525,0.4120325845795032,0.9906227587190234,0.29756031463119115
3.0,2.5,0.0,6.080313913643421,13780.348378097737,660006.7753240305,5.166028726721612,0.12806962518224566,1.0285943382353488,0.44113714494968437
3.0,0.8,0.01,6.092027164839055,47037.90611437823,649549.6378271526,3.3890353215623596,0.4371534623174499,1.012297304893295,0.2893962548358511
0.3,2.0,0.03,6.143600189324792,45702.41793293815,666883.1141234802,3.4904702458618657,0.42474191319404814,1.0393108390673738,0.29805797842871773
2.0,0.5,0.0,6.160114778638415,98343.07750843522,641274.0241173478,0.6919716069521588,0.9139653606865078,0.9994000897046342,0.059088788550124165
1.0,3.0,0.03,6.164067802221611,11547.830745577652,666070.3437694106,5.374532228474271,0.10732140543012134,1.0380441687607378,0.45894166063102665
10.0,0.05,0.2,6.1891910091449125,40000.924658387565,637265.8455963302,3.9081752437252657,0.37175427553669127,0.9931535027187187,0.33372661287427374
0.1,2.0,0.01,6.21732475612835,61722.54102224113,663994.4846122109,2.7103027348651034,0.5736272028200634,1.0348090247351005,0.23143797172929326
7.0,0.1,0.0,6.228120458192814,64875.2506186135,630161.937227329,2.6131291578721054,0.602927357303648,0.9820823437535551,0.22314013279210193
7.0,0.1,0.01,6.243173228025762,64879.43937511898,630160.219578217,2.630532211444857,0.6029662861072542,0.9820796668656537,0.22462621306238373
1.0,2.5,0.03,6.2564081060923,10598.76752874316,666882.6996163378,5.532832379700656,0.09850115160784255,1.03931019307446,0.47245921549786274
