time,Ta_C,Tsp_C,Ti_C,Phea_W,tariff_USD_per_kWh,error_C,integral_term,derivative_term
2026-04-02 02:34:00,20.0,38.0,38.033912275769445,7.896760202615006,0.12,0.0,2.6322534008716687,0.0
2026-04-02 02:35:00,20.0,38.0,38.01758406498231,7.896760202615006,0.12,0.0,2.6322534008716687,0.0
2026-04-02 02:36:00,20.0,38.0,38.00156505156077,7.896760202615006,0.12,0.0,2.6322534008716687,0.0
2026-04-02 02:37:00,20.0,38.0,37.98584938042296,7.896760202615006,0.12,0.0,2.6322534008716687,0.0
2026-04-02 02:38:00,20.0,38.0,37.97043130736114,7.896760202615006,0.12,0.0,2.6322534008716687,0.0
2026-04-02 02:39:00,20.0,38.0,37.9553051969421,7.896760202615006,0.12,0.0,2.6322534008716687,0.0
2026-04-02 02:40:00,20.0,38.0,37.940465520447404,7.896760202615006,0.12,0.0,2.6322534008716687,0.0
2026-04-02 02:41:00,20.0,38.0,37.92590685385259,7.896760202615006,0.12,0.0,2.6322534008716687,0.0
2026-04-02 02:42:00,20.0,38.0,37.911623875844626,7.896760202615006,0.12,0.0,2.6322534008716687,0.0
2026-04-02 02:43:00,20.0,38.0,37.89761136587695,7.896760202615006,0.12,0.0,2.6322534008716687,0.0
2026-04-02 02:44:00,20.0,38.0,37.88386420226129,7.896760202615006,0.12,0.0,2.6322534008716687,0.0
2026-04-02 02:45:00,20.0,38.0,37.87037736029569,7.896760202615006,0.12,0.0,2.6322534008716687,0.0
2026-04-02 02:46:00,20.0,38.0,37.857145910427874,7.896760202615006,0.12,0.0,2.6322534008716687,0.0
2026-04-02 02:47:00,20.0,38.0,37.8441650164535,7.896760202615006,0.12,0.0,2.6322534008716687,0.0
2026-04-02 02:48:00,20.0,38.0,37.831429933748495,7.896760202615006,0.12,0.0,2.6322534008716687,0.0
2026-04-02 02:49:00,20.0,38.0,37.818936007534816,7.896760202615006,0.12,0.0,2.6322534008716687,0.0
2026-04-02 02:50:00,20.0,38.0,37.806678671179114,7.896760202615006,0.12,0.0,2.6322534008716687,0.0
2026-04-02 02:51:00,20.0,38.0,37.794653444523604,8.112374085865223,0.12,0.20534655547639602,2.635675843462942,12.320793328583761
2026-04-02 02:52:00,20.0,38.0,37.79173437674823,8.125706434803185,0.12,0.20826562325176923,2.639146937183805,0.17514406652239245
2026-04-02 02:53:00,20.0,38.0,37.789419578613085,8.138550254007676,0.12,0.2105804213869149,2.642656610873587,0.13888788810874075
2026-04-02 02:54:00,20.0,38.0,37.78767749099091,8.150908467080306,0.12,0.21232250900909122,2.646195319357072,0.10452525733057882
2026-04-02 02:55:00,20.0,38.0,37.78647727275703,8.162784821676333,0.12,0.2135227272429674,2.649754031477788,0.07201309403257028
2026-04-02 02:56:00,20.0,38.0,37.78578882112549,8.174183832251597,0.12,0.2142111788745069,2.6533242177923633,0.0413070978923713
2026-04-02 02:57:00,20.0,38.0,37.785582789242504,8.18511072467246,0.12,0.21441721075749598,2.656897837971655,0.01236191297934397
